OptionSetName,Option,IsUserLocalizedLabel,LocalizedLabelLanguageCode,LocalizedLabel,GlobalOptionSetName
dfeta_agerangeto,389040000,0,1033,01,NULL
dfeta_agerangeto,389040001,0,1033,02,NULL
dfeta_agerangeto,389040002,0,1033,03,NULL
dfeta_agerangeto,389040003,0,1033,04,NULL
dfeta_agerangeto,389040004,0,1033,05,NULL
dfeta_agerangeto,389040005,0,1033,06,NULL
dfeta_agerangeto,389040006,0,1033,07,NULL
dfeta_agerangeto,389040007,0,1033,08,NULL
dfeta_agerangeto,389040008,0,1033,09,NULL
dfeta_agerangeto,389040009,0,1033,10,NULL
dfeta_agerangeto,389040010,0,1033,11,NULL
dfeta_agerangeto,389040011,0,1033,12,NULL
dfeta_agerangeto,389040012,0,1033,13,NULL
dfeta_agerangeto,389040013,0,1033,14,NULL
dfeta_agerangeto,389040014,0,1033,15,NULL
dfeta_agerangeto,389040015,0,1033,16,NULL
dfeta_agerangeto,389040016,0,1033,17,NULL
dfeta_agerangeto,389040017,0,1033,18,NULL
dfeta_agerangeto,389040018,0,1033,19,NULL
dfeta_agerangeto,389040019,0,1033,99,NULL
dfeta_agerangeto,389040020,0,1033,Further Education,NULL
dfeta_agerangeto,389040021,0,1033,Foundation Stage,NULL
dfeta_agerangeto,389040022,0,1033,Key Stage 1,NULL
dfeta_agerangeto,389040023,0,1033,Key Stage 2,NULL
dfeta_agerangeto,389040024,0,1033,Key Stage 3,NULL
dfeta_agerangeto,389040025,0,1033,Key Stage 4,NULL
dfeta_agerangeto,389040026,0,1033,Not applicable,NULL
dfeta_agerangeto,389040027,0,1033,Other,NULL
dfeta_agerangeto,389040028,0,1033,Post 16,NULL
dfeta_agerangeto,389040029,0,1033,00,NULL
dfeta_agerangetrainedtoteachfrom,389040000,0,1033,01,NULL
dfeta_agerangetrainedtoteachfrom,389040001,0,1033,02,NULL
dfeta_agerangetrainedtoteachfrom,389040002,0,1033,03,NULL
dfeta_agerangetrainedtoteachfrom,389040003,0,1033,04,NULL
dfeta_agerangetrainedtoteachfrom,389040004,0,1033,05,NULL
dfeta_agerangetrainedtoteachfrom,389040005,0,1033,06,NULL
dfeta_agerangetrainedtoteachfrom,389040006,0,1033,07,NULL
dfeta_agerangetrainedtoteachfrom,389040007,0,1033,08,NULL
dfeta_agerangetrainedtoteachfrom,389040008,0,1033,09,NULL
dfeta_agerangetrainedtoteachfrom,389040009,0,1033,10,NULL
dfeta_agerangetrainedtoteachfrom,389040010,0,1033,11,NULL
dfeta_agerangetrainedtoteachfrom,389040011,0,1033,12,NULL
dfeta_agerangetrainedtoteachfrom,389040012,0,1033,13,NULL
dfeta_agerangetrainedtoteachfrom,389040013,0,1033,14,NULL
dfeta_agerangetrainedtoteachfrom,389040014,0,1033,15,NULL
